alt_id,comment,created_by,creation_date,def,name,property_value,subset,synonym,xref
,,,,"""Sensitivity to the carbon content in the growth medium. It plays an important role in the synthesis of various inorganic and organic metabolites such as carbohydrates, lipids, amino acids and peptides and plays a role in various metabolic processes."" [Gramene:pankaj_jaiswal]",carbon sensitivity,,,"['""carbon deficiency (related)"" RELATED []', '""CBSN (related)"" RELATED []']",
,"Observed by general growth conditions in relation to standard resistant and susceptible checks. Since some soil problems are very heterogeneous in the field, several replications may be needed to obtain precise reading. Leaf is counted as discolored or dead if more than half of its area is discolored or dead.",,,"""Plant sensitivity to soils with alkali conditions (pH>7)."" [IRRI:SES, TO:moorel]",alkali soil sensitivity,,,"['""alkali sensitivity (related)"" RELATED []', '""AlkS (related)"" RELATED []']",
,,,,"""Trait of a plant in which the action of the cytotoxic gene used to introduce male sterility is suppressed by the application of a chemical to the plant. Reversion of the sterility allows the RMS parent to be self-fertilized, a step that overcomes the need to remove fertile sib plants prior to making the hybrid cross."" [PMID:10645437]",reversible male sterility,,,"['""RMS (related)"" RELATED []']",
,,,,"""Sensitivity to the calcium content in the growth medium. Plays an important role in cell wall synthesis and enzyme activities."" [Gramene:pankaj_jaiswal]",calcium sensitivity,,,"['""calcium deficiency (related)"" RELATED []', '""CALSN (related)"" RELATED []']",
,,,,"""Response by the plant in terms of sensitivity to sulfur content in the growth medium. It is important for synthesis of some amino acid residues."" [Gramene:pankaj_jaiswal]",sulfur sensitivity,,,"['""SFSN (related)"" RELATED []', '""sulfur deficiency (related)"" RELATED []']",
,,,,"""Sensitivity to the potassium ion content in the growth medium. It plays an important role in controlling water by osmosis and also in the metal ion homeostasis."" [Gramene:pankaj_jaiswal]",potassium sensitivity,,,"['""KSN (related)"" RELATED []', '""potassium deficiency (related)"" RELATED []']",
,,,,"""Male sterility affected by photoperiod."" [Gramene:pankaj_jaiswal, IRRI:SES]",genic male sterility-photoperiod sensitive,,,"['""PGMS (related)"" RELATED []', '""photoperiod sensitive genic male sterility (related)"" RELATED []', '""PPDSNGMS (related)"" RELATED []']",
,,,,"""Sensitivity to the magnesium content in the growth medium. It is important for chlorophyll biosynthesis and metal ion homeostasis."" [Gramene:pankaj_jaiswal]",magnesium sensitivity,,,"['""magnesium deficiency (related)"" RELATED []', '""MGSN (related)"" RELATED []']",
,,,,"""Sensitivity to the nitrogen content in the growth medium. It is important for protein synthesis, chlorophyll etc."" [Gramene:pankaj_jaiswal]",nitrogen sensitivity,,,"['""NISN (related)"" RELATED []', '""nitrogen deficiency (related)"" RELATED []']",
,,,,"""Sensitivity to the molecular hydrogen or hydrogen ion content in the growth medium. It plays an important role in the synthesis of various inorganic and organic metabolites such as carbohydrates, lipids, amino acids and peptides and plays a role in the energy metabolism, osmolarity,  etc."" [Gramene:pankaj_jaiswal]",hydrogen sensitivity,,,"['""hydrogen ion sensitivity (related)"" RELATED []', '""molecular hydrogen sensitivity (related)"" RELATED []']",
,"The factors needed for successful test are the presence of sources and vectors, inoculation at the susceptible growth stage of the test plants and favorable environmental conditions.",,,"""An assay to determine the resistance exhibited by a plant or a group of plants (population) in response to the disease caused by a mycoplasma-like pathogen infection as compared to the susceptible and/or the reference plants of the same species."" [Gramene:pankaj_jaiswal, IRRI:SES]",resistance to disease by mycoplasma-like organism,,,"['""MLO (related)"" RELATED []', '""MLORS (related)"" RELATED []']",
,,,,"""Average weight of the panicle from the plants or tillers in a given study."" [Gramene:pankaj_jaiswal]",panicle weight,,,"['""PNWT (related)"" RELATED []']",
,,,,"""Sensitivity to the molecular oxygen or reactive oxygen ion content in the growth medium. It plays an important role in the synthesis of various inorganic and organic metabolites such as carbohydrates, lipids, aminoacids and peptides and plays a role in the energy metabolism."" [Gramene:pankaj_jaiswal]",oxygen sensitivity,,,"['""oxygen deficiency (related)"" RELATED []']",
,,,,"""Sensitivity to the cobalt content in the growth medium."" [Gramene:pankaj_jaiswal]",cobalt sensitivity,,,"['""COSN (related)"" RELATED []']",
,"Includes traits of plant structures (PO:0009011) such as plant cell (PO:0009002), plant organ (PO:0009008), portion of plant tissue (PO:0009007), vascular system (PO:0000034), whole plant (PO:0000003) and seed (PO:0009010), as well as those of plant anatomical spaces (PO:0025117) and portions of plant substance (PO:0025161).",,,"""A plant trait (TO:0000387) which is a morphological quality of a plant anatomical entity (PO:0025131) or a constituent cellular component (GO:0005575) contained therein."" [GO:0005575, Gramene:pankaj_jaiswal, PO:0025131, TO:cooperl]",plant morphology trait,,,"['""plant architecture trait (related)"" RELATED []', '""plant structure trait (related)"" RELATED []']",['TO_GIT:54']
,,,,"""Sensitivity to the boron content in the growth medium. It plays an important role in cell division."" [Gramene:pankaj_jaiswal]",boron sensitivity,,,"['""boron deficiency (related)"" RELATED []', '""BOSN (related)"" RELATED []']",
,,,,"""Average height measurements of 10 seedlings, in centimeters from the base of the shoot to the tip of the tallest leaf blade."" [IRRI:SES]",seedling height,,,"['""SH (related)"" RELATED []']",
,,,,,black streak dwarf virus resistance,,,"['""BSDVRS (related)"" RELATED []']",
,,,,"""Sensitivity to the copper ion content in the growth medium. Plays a role as cofactor in synthesis of some enzymes important in photosynthesis."" [Gramene:pankaj_jaiswal]",copper sensitivity,,,"['""CUSN (related)"" RELATED []']",
,,,,"""Causal agent: Oebalus pugnax."" [Gramene:pankaj_jaiswal]",stink bug resistance,,,"['""SBUGRS (related)"" RELATED []']",
